Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
35-44 years old,Man,Straight / Heterosexual,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, full-stack;Database administrator;Project manager;Data or business analyst",United States dollar,USD,85000.0,Yearly,85000.0,8,8,Windows,,Microsoft SQL Server,jQuery;React.js,ASP.NET;jQuery;Node.js;React.js;Vue.js,C#;HTML/CSS;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;VBA,,,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,63000.0,Yearly,63000.0,6,2,Windows,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,Flask;React.js,Flask;React.js,Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;SQL,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,"5,000 to 9,999 employees",USA,"Employed, full-time","Engineer, site reliability;Developer, back-end;DevOps specialist",United States dollar,USD,300000.0,Yearly,300000.0,28,18,Linux-based;macOS,Elasticsearch;Neo4j;PostgreSQL;Redis,Elasticsearch;Neo4j;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Ruby on Rails,Ruby on Rails,Crystal;Go;HTML/CSS;Ruby;SQL,Crystal;Go;HTML/CSS;JavaScript;Ruby;SQL,AWS;DigitalOcean;Google Cloud,AWS;DigitalOcean;Google Cloud;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, mobile",,,,,,8,,,,Cloud Firestore;MongoDB;MySQL,Next.js;Vue.js,Express;jQuery;Node.js;React.js,Java;Python,C++;HTML/CSS;JavaScript,AWS;Google Cloud,Firebase;Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,20 to 99 employees,Germany,"Employed, full-time","Developer, desktop or enterprise applications;DevOps specialist;Project manager",European Euro,EUR,80000.0,Yearly,85315.0,20,14,Windows,,,,,,,Microsoft Azure,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, mobile",Indian rupee,INR,1600000.0,Yearly,20636.0,7,3,Linux-based;macOS,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,Deno;Django;FastAPI;Flask;Gatsby;Next.js;Phoenix;React.js;Svelte,Django;FastAPI;Flask;Next.js;React.js,Dart;Go;HTML/CSS;JavaScript;Julia;Python;Rust;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,AWS;Firebase;Google Cloud,AWS;Firebase;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Canada,"Employed, full-time;Student, full-time",Cloud infrastructure engineer,,,,,,5,,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),PostgreSQL,PostgreSQL,Ruby on Rails,ASP.NET Core ;React.js;Ruby on Rails,LISP;Ruby;Rust;SQL;Swift;TypeScript,C;C#;Go;HTML/CSS;Java;JavaScript;LISP;PowerShell;Python;Ruby;Rust;Scala;SQL;Swift;TypeScript,Heroku,AWS;Heroku;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Academic researcher;DevOps specialist;Cloud infrastructure engineer",United States dollar,USD,109250.0,Yearly,109250.0,17,14,Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Blazor;Deno;Express;Node.js;Nuxt.js;Vue.js,Express;Node.js;Nuxt.js;Vue.js,C#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;Perl;PowerShell;SQL;TypeScript,,AWS;Google Cloud,2022
35-44 years old,Woman,Bisexual;Queer,North American,Some college/university study without earning a degree,500 to 999 employees,USA,"Employed, full-time","Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator",United States dollar,USD,110000.0,Yearly,110000.0,8,4,Linux-based;Windows;Windows Subsystem for Linux (WSL),MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Flask;Laravel;Node.js,ASP.NET Core ;Laravel;Node.js,Go;Python,Go;JavaScript;PHP;PowerShell;Python;SQL,DigitalOcean;Microsoft Azure,DigitalOcean;VMware,2022
35-44 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Canada,"Employed, full-time","Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer",Canadian dollar,CAD,150000.0,Yearly,117126.0,22,15,Windows,Redis,Elasticsearch;MongoDB;Redis,,,Go;Python,Go;Python,Google Cloud,Google Cloud;VMware,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Employed, full-time;Student, full-time","Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Student;Cloud infrastructure engineer",,,,,,4,,Linux-based,Cloud Firestore;Firebase Realtime Database;Redis,Cloud Firestore;DynamoDB;MariaDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Nuxt.js;Phoenix;React.js;Svelte;Vue.js,Angular;Django;Express;FastAPI;Flask;jQuery;Node.js;Phoenix;React.js,F#;Go;LISP;Rust,Assembly;Bash/Shell;C;C++;Elixir;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;Rust;SQL;TypeScript,Colocation;Firebase,AWS;Firebase;Heroku;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Canada,"Employed, full-time","Developer, back-end",Canadian dollar,CAD,97000.0,Yearly,75742.0,9,5,Linux-based;macOS,MongoDB;MySQL,MySQL,Laravel;Symfony,Angular;jQuery;Laravel;React.js;Symfony,Bash/Shell;Go;PHP;Scala;SQL,Bash/Shell;JavaScript;PHP;SQL,AWS,AWS;Microsoft Azure;VMware,2022
25-34 years old,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",USA,"Employed, full-time","Engineer, data",United States dollar,USD,100000.0,Yearly,100000.0,3,3,Windows,Microsoft SQL Server,Microsoft SQL Server,,,PowerShell;Python;R;SQL;VBA,Bash/Shell;PowerShell;Python;SQL;VBA,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,125000.0,Yearly,125000.0,10,3,macOS;Windows Subsystem for Linux (WSL),DynamoDB,DynamoDB;Elasticsearch;PostgreSQL,React.js,React.js,Dart;Kotlin;Rust;TypeScript,Go;JavaScript;TypeScript,AWS;Google Cloud,AWS,2022
55-64 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end;DevOps specialist;Developer, embedded applications or devices",United States dollar,USD,104817.0,Yearly,104817.0,36,33,Linux-based;Windows,,,,,Bash/Shell;HTML/CSS;JavaScript;Python,Bash/Shell;Python,Linode;Microsoft Azure,Linode;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Engineer, data;Other (please specify):",United States dollar,USD,106000.0,Yearly,106000.0,25,10,Windows,PostgreSQL,Microsoft SQL Server,,,Python;SQL,PowerShell;SQL,,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Asian;East Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, embedded applications or devices",United States dollar,USD,,Monthly,,4,Less than 1 year,Linux-based;Windows;Windows Subsystem for Linux (WSL),,,,,Assembly;Bash/Shell;C;C++;Python,Assembly;Bash/Shell;C;C++;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,Middle Eastern,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, back-end",European Euro,EUR,65000.0,Yearly,69318.0,10,6,macOS,Cassandra,PostgreSQL,,,Clojure;Haskell;JavaScript;TypeScript,Java;Kotlin;Scala;SQL;TypeScript,Heroku,AWS,2022
55-64 years old,Man,Straight / Heterosexual,White;European;North American,"Other doctoral degree (Ph.D., Ed.D., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, front-end;Developer, back-end;Developer, mobile;Developer, embedded applications or devices;Scientist",United States dollar,USD,140000.0,Yearly,140000.0,46,39,Linux-based;Windows,,,,,C;C++;Java;JavaScript,C;C++;Java;JavaScript,Managed Hosting;Microsoft Azure;VMware,Managed Hosting;Microsoft Azure;VMware,2022
18-24 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Canada,"Employed, full-time","Developer, back-end",Canadian dollar,CAD,130000.0,Yearly,101509.0,4,1,Linux-based;macOS,DynamoDB,DynamoDB,,Node.js,Java;JavaScript;SQL,Java;JavaScript;Python;Scala;SQL,AWS,AWS,2022
Prefer not to say,Man,Prefer not to say,White,Primary/elementary school,,USA,"Student, full-time",,,,,,,1,,Windows,,,Node.js;React.js,React.js,HTML/CSS;JavaScript;Lua,HTML/CSS;JavaScript;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Mexico,"Employed, full-time","Developer, mobile",Mexican peso,MXN,52000.0,Monthly,31308.0,15,8,macOS,Cloud Firestore;MongoDB;Firebase Realtime Database,Cloud Firestore;MongoDB;Firebase Realtime Database,Django;FastAPI;Node.js,Django;FastAPI;Node.js,JavaScript;Python;Swift,JavaScript;Objective-C;Python;Swift,AWS;Firebase;Microsoft Azure,AWS;Firebase;Heroku;Microsoft Azure;VMware,2022
18-24 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Germany,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, back-end;Developer, desktop or enterprise applications;Database administrator;System administrator",European Euro,EUR,,Yearly,,7,3,Linux-based;Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,ASP.NET Core ;Blazor;Express;Node.js;Svelte,ASP.NET;ASP.NET Core ;Express;Node.js,Assembly;Bash/Shell;C;C#;C++;Dart;Delphi;Elixir;F#;Go;Haskell;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;Rust;SQL;TypeScript;VBA,Bash/Shell;C;C#;C++;Delphi;HTML/CSS;JavaScript;Kotlin;PowerShell;Rust;SQL;TypeScript;VBA,Heroku;VMware,VMware,2022
25-34 years old,Man,Bisexual;Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack;Academic researcher",United States dollar,USD,78000.0,Yearly,78000.0,9,7,Linux-based;macOS,,PostgreSQL,Angular,Angular;Angular.js;Express;FastAPI;jQuery;React.js,Python,C++;HTML/CSS;JavaScript;Python;R;TypeScript,,,2022
35-44 years old,Woman,Bisexual;Queer,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",United States dollar,USD,163000.0,Yearly,163000.0,9,8,Windows,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server,ASP.NET Core ;Node.js;Vue.js,ASP.NET;ASP.NET Core ;Node.js;React.js,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,Heroku;Microsoft Azure,Heroku;Microsoft Azure,2022
18-24 years old,Man,Gay or Lesbian,White,Some college/university study without earning a degree,,USA,"Employed, full-time;Student, part-time","Developer, front-end",,,,,,7,,Linux-based,DynamoDB;MongoDB,DynamoDB;MongoDB,Angular;Node.js;React.js,Angular;Flask;Node.js;React.js,C++;HTML/CSS;JavaScript;TypeScript,Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;Lua;Perl;Python;TypeScript,AWS;Google Cloud,AWS,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, mobile",United States dollar,USD,350000.0,Yearly,350000.0,41,28,macOS,SQLite,MySQL;SQLite,,Django;React.js;Vue.js,Bash/Shell;Objective-C;Swift,Bash/Shell;C;C++;JavaScript;Kotlin;Objective-C;Swift;TypeScript,AWS,AWS,2022
25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, back-end",European Euro,EUR,,Monthly,,9,5,macOS,Cassandra;Elasticsearch;Neo4j;PostgreSQL;Redis,Elasticsearch;MySQL;PostgreSQL;Redis,Django;Express;Node.js;Play Framework;React.js;Vue.js,Express;Node.js,Go;Kotlin;Python;Scala;SQL,Java;JavaScript;Kotlin;Python;SQL;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist",United States dollar,USD,78000.0,Yearly,78000.0,7,5,Windows,,IBM DB2;Microsoft SQL Server,React.js;Ruby on Rails;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js,,C;C#;Groovy;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript;VBA,Firebase;Google Cloud,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,100 to 499 employees,UK,"Employed, full-time","Developer, full-stack;Developer, mobile",Pound sterling,GBP,,Monthly,,5,11,macOS,PostgreSQL,MariaDB;MySQL;Redis,Gatsby;Laravel;Next.js;React.js,Gatsby;Laravel;React.js,TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,DigitalOcean,DigitalOcean,2022
35-44 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time",Data scientist or machine learning specialist;DevOps specialist,United States dollar,USD,120000.0,Yearly,120000.0,20,6,Linux-based;Windows,MongoDB,MongoDB,,,C;C++;Python,Python,,,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,"10,000 or more employees",UK,"Employed, full-time","Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Educator;DevOps specialist;Cloud infrastructure engineer;Security professional",Pound sterling,GBP,60000.0,Yearly,75384.0,7,3,macOS;Windows,PostgreSQL,Microsoft SQL Server;PostgreSQL,ASP.NET Core ;React.js;Vue.js,ASP.NET;ASP.NET Core ;React.js;Vue.js,Bash/Shell;C#;C++;Go;Java;Python;Rust;SQL;TypeScript,Bash/Shell;C#;JavaScript;Python;SQL;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS;Heroku;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Student, full-time",,,,,,,5,,Windows,MongoDB,MongoDB,,,Haskell;Kotlin;OCaml;Rust,C++;Java;Rust,,OVH,2022
Under 18 years old,Man,Straight / Heterosexual,Indian;North American,Primary/elementary school,,USA,"Student, full-time",,,,,,,3,,Linux-based,PostgreSQL;Redis;SQLite,Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Gatsby;Next.js;Node.js;Nuxt.js;React.js;Vue.js,Flask;Next.js;Node.js;React.js,Bash/Shell;C++;Go;HTML/CSS;Lua;Rust;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript,AWS;DigitalOcean;Firebase;Google Cloud;Linode,AWS;DigitalOcean;Firebase;Google Cloud;Linode,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,100 to 499 employees,USA,"Employed, full-time","Developer, desktop or enterprise applications",United States dollar,USD,150000.0,Yearly,150000.0,35,20,Windows,MariaDB,MariaDB,Angular.js;Vue.js,Angular.js;Vue.js,C;C++;HTML/CSS;Java;JavaScript,C;C++;HTML/CSS;Java;JavaScript,,,2022
18-24 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,Some college/university study without earning a degree,,Mexico,"Employed, full-time;Student, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Designer",,,,,,5,,,MongoDB,Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database,Node.js;React.js,jQuery;Node.js;React.js,SAS;TypeScript,HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,,AWS;Firebase;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,20 to 99 employees,USA,"Employed, full-time",Other (please specify):,United States dollar,USD,122000.0,Yearly,122000.0,30,20,Windows,,,jQuery;Node.js,jQuery;Node.js,HTML/CSS;JavaScript;PowerShell,HTML/CSS;JavaScript;PowerShell,,,2022
25-34 years old,Man,Prefer not to say,Indian;Asian,Some college/university study without earning a degree,2 to 9 employees,India,"Employed, full-time","Developer, back-end",Indian rupee,INR,25000.0,Monthly,3864.0,13,7,Linux-based,MongoDB;MySQL,MySQL,Laravel;React.js;Vue.js,Laravel,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL,AWS;DigitalOcean;Firebase;Google Cloud,AWS;DigitalOcean;Linode,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,121000.0,Yearly,121000.0,17,17,Linux-based;macOS,Elasticsearch;PostgreSQL,DynamoDB;Elasticsearch;MySQL;SQLite,Express;FastAPI;Node.js,Django;Express;FastAPI;Flask;jQuery;Laravel;Node.js,Go;JavaScript;Python;Rust;Swift;TypeScript,HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Asian;East Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,190000.0,Yearly,238715.0,9,8,macOS,,,Ruby on Rails,Ruby on Rails,Ruby,Ruby;SQL,,AWS,2022
65 years or older,Man,Straight / Heterosexual,"Or, in your own words:","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",Canada,"Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Developer, embedded applications or devices;Developer, game or graphics;Designer;Product manager;Senior Executive (C-Suite, VP, etc.)",Canadian dollar,CAD,,,,More than 50 years,46,BSD;Linux-based;macOS,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,,,Java;JavaScript;Kotlin;PHP;SQL;Swift,JavaScript;Kotlin;Objective-C;PHP;SQL;Swift,AWS;Firebase,AWS,2022
25-34 years old,Man,Straight / Heterosexual,North American;Hispanic or Latino/a,Some college/university study without earning a degree,100 to 499 employees,Mexico,"Employed, full-time","Engineer, data;Student",Mexican peso,MXN,70000.0,Monthly,42144.0,7,2,macOS;Windows,,,,,Python;Scala,Python;Scala,AWS,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,,USA,"Student, full-time;Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack",,,,,,9,,macOS;Windows,DynamoDB;PostgreSQL;Firebase Realtime Database;Redis,DynamoDB;PostgreSQL;Redis,Express;Next.js;Node.js;React.js,Express;Next.js;Node.js;React.js,C#;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,C;C#;C++;HTML/CSS;Java;JavaScript;LISP;Python;SQL;TypeScript,AWS;Heroku;Linode,AWS;Heroku;Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Chile,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack;Developer, mobile;Designer;Senior Executive (C-Suite, VP, etc.);System administrator;Security professional",Chilean peso,CLP,4000000.0,Monthly,57828.0,36,30,Linux-based,PostgreSQL,PostgreSQL,Gatsby;Next.js;Node.js;Play Framework;React.js,Gatsby;Next.js;Node.js;Play Framework;React.js,Bash/Shell;HTML/CSS;Java;JavaScript;Perl;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Perl;SQL;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,European,Something else,"1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, front-end;Designer",European Euro,EUR,2500.0,Monthly,31992.0,4,1,Windows,MongoDB;MySQL,Cloud Firestore;MongoDB;MySQL;Firebase Realtime Database,Django;Gatsby;jQuery;Next.js;Node.js;React.js,jQuery;Node.js;React.js,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL,,Firebase,2022
25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Canada,"Employed, full-time","Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications",Canadian dollar,CAD,121000.0,Yearly,94482.0,9,5,Linux-based,PostgreSQL;SQLite,PostgreSQL;SQLite,Deno;React.js;Svelte,Flask;Node.js;Nuxt.js;Vue.js,Go,Bash/Shell;Go;JavaScript;Python,,AWS,2022
Under 18 years old,Man,Bisexual,White;Asian;Caribbean,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time",,,,,,,2,,,,,Angular.js;ASP.NET;Next.js;Node.js,Node.js,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time",DevOps specialist,Indian rupee,INR,1200000.0,Yearly,15477.0,7,4,Linux-based;Windows Subsystem for Linux (WSL),Redis,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,ASP.NET Core ;Blazor,Django,C#;Go;Groovy;Java;Rust,HTML/CSS;JavaScript;PowerShell;Python;SQL,AWS;Google Cloud,Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,500 to 999 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,132000.0,Yearly,132000.0,40,27,macOS,PostgreSQL,PostgreSQL,,React.js;Vue.js,Kotlin;Rust;Swift;TypeScript,Bash/Shell;Groovy;Java;JavaScript;Kotlin;SQL;TypeScript,AWS,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time",Data or business analyst,Indian rupee,INR,550000.0,Yearly,7093.0,4,Less than 1 year,Linux-based;Windows,IBM DB2;Microsoft SQL Server;MySQL,IBM DB2;Microsoft SQL Server;MySQL,,,Python;R;SAS;SQL,Python;R;SAS;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Student, full-time;Employed, part-time","Developer, full-stack;Student;DevOps specialist",,,,,,8,,Windows Subsystem for Linux (WSL),PostgreSQL;SQLite,PostgreSQL;SQLite,Node.js;React.js,Flask;Node.js;React.js;Vue.js,C++;HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell;C++;Fortran;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;VBA,AWS;OpenStack,AWS,2022
45-54 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,10 to 19 employees,USA,"Employed, full-time","Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;System administrator",United States dollar,USD,55000.0,Yearly,55000.0,20,14,Windows,PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,ASP.NET,ASP.NET,PowerShell;Python;SQL,Crystal;PowerShell;Python;SQL,Managed Hosting,Managed Hosting,2022
35-44 years old,Woman,Straight / Heterosexual,Asian;East Asian;Southeast Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, QA or test",United States dollar,USD,140000.0,Yearly,140000.0,24,22,macOS,Elasticsearch;MongoDB;Oracle,Elasticsearch;MongoDB;MySQL;Oracle,Angular.js;Node.js;React.js,Angular;Angular.js;Node.js;React.js,Java;JavaScript;TypeScript,Java;JavaScript;SQL;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS,2022
,Man,Straight / Heterosexual,,Some college/university study without earning a degree,I don’t know,USA,"Employed, full-time","Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator",United States dollar,USD,,,,10,9,Windows,,Microsoft SQL Server,,,Rust,Bash/Shell;C#;Groovy;PowerShell;Rust,,Colocation;OpenStack,2022
18-24 years old,Man,Prefer not to say,Indian;Asian;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Employed, full-time;Student, full-time","Developer, back-end",,,,,,8,,Windows,,,,,C;C++;Python,C;C++;MATLAB;Python,,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;DevOps specialist",United States dollar,USD,,,,15,6,,,Microsoft SQL Server;MySQL;PostgreSQL,Angular;Angular.js,ASP.NET;ASP.NET Core ;Node.js,HTML/CSS;Java;JavaScript,Bash/Shell;C#;PowerShell;Python,,AWS;Microsoft Azure;VMware,2022
