Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,"Developer, back-end;DevOps specialist","I donâ€™t know","INR	Indian rupee",NA,Monthly,Java,Go;Groovy;JavaScript,Elasticsearch;MariaDB;MongoDB;MySQL;Oracle,NA,"AWS;Heroku;Microsoft Azure","DigitalOcean;Google Cloud Platform",Linux-based,"25-34 years old","Prefer not to say","Prefer not to say","South Asian",NA
"Employed full-time",Ukraine,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",15,9,"Developer, full-stack","100 to 499 employees","UAH	Ukrainian hryvnia",110000,Monthly,Bash/Shell;JavaScript;Node.js;SQL;TypeScript,Bash/Shell;JavaScript;Node.js;SQL;TypeScript,MongoDB;Redis,MongoDB;Redis,AWS;Heroku,AWS;Heroku,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",53832
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",11,8,"Developer, back-end","100 to 499 employees","GBP	Pound sterling",NA,NA,NA,NA,NA,NA,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Poland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,"Developer, desktop or enterprise applications;Developer, full-stack","1,000 to 4,999 employees","PLN	Polish zloty",NA,NA,C#;JavaScript,C#;JavaScript;TypeScript,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","Multiracial;Middle Eastern",NA
"Student, part-time",Israel,"Primary/elementary school","Less than 1 year",NA,NA,NA,NA,NA,NA,C;HTML/CSS;JavaScript,C;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent;I don't know;Middle Eastern",NA
"Employed full-time",Turkey,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",7,2,"Developer, full-stack","20 to 99 employees","TRY	Turkish lira",110000,Yearly,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;Python;TypeScript,MongoDB;MySQL;Oracle;PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL,"AWS;Microsoft Azure","AWS;Microsoft Azure",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",18080
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",11,3,"Developer, mobile;Developer, QA or test;Engineering manager;Product manager;Marketing or sales professional","2 to 9 employees","EUR European Euro",2400,Monthly,C;C++;HTML/CSS;Objective-C;Python;Swift,Python;Swift,MySQL;PostgreSQL;SQLite,PostgreSQL,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",31128
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,12,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","20 to 99 employees","BRL	Brazilian real",35000,Monthly,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;Swift;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,"AWS;Google Cloud Platform;Heroku",AWS;Heroku,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Hispanic or Latino/a/x",96204
"Employed full-time",Pakistan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,3,"Developer, mobile;Developer, front-end","2 to 9 employees","PKR	Pakistani rupee",70000,Monthly,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,NA,NA,Heroku,Heroku,Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",5448
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager","100 to 499 employees","EUR European Euro",82000,Yearly,Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;TypeScript,DynamoDB;Elasticsearch;MongoDB,DynamoDB,"AWS;Google Cloud Platform",AWS,MacOS,"25-34 years old",Man,NA,NA,88640
"Student, part-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,NA,NA,NA,NA,NA,C;C++;Dart;Java;SQL,Dart;JavaScript;Python,Firebase,MongoDB;MySQL;Redis,"Google Cloud Platform;Heroku;Microsoft Azure","AWS;Microsoft Azure",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Spain,"Some college/university study without earning a degree",6,2,"Developer, desktop or enterprise applications;Developer, back-end;Student","10 to 19 employees","EUR European Euro",19000,Yearly,Assembly;HTML/CSS;Node.js;Python;SQL,C#;Python,"Microsoft SQL Server;MySQL;PostgreSQL;SQLite",NA,AWS,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",20539
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",40,21,"Developer, full-stack;Database administrator;Engineering manager;System administrator","20 to 99 employees","USD	United States dollar",190000,Yearly,Bash/Shell;Groovy;Java;JavaScript,Bash/Shell;Groovy;Java;JavaScript,Elasticsearch;MongoDB,Elasticsearch;MongoDB,NA,NA,Linux-based,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",190000
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Other doctoral degree (Ph.D., Ed.D., etc.)",30,10,"Developer, desktop or enterprise applications;Developer, back-end","20 to 99 employees","GBP	Pound sterling",38500,Yearly,C#,C#,"Microsoft SQL Server",NA,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","East Asian",49765
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,10,"Developer, back-end","10 to 19 employees","EUR European Euro",45000,Yearly,Java;Kotlin;Python;SQL,Kotlin,PostgreSQL,PostgreSQL,NA,NA,Linux-based,"25-34 years old",Man,NA,NA,48644
"Student, full-time",Bangladesh,"Some college/university study without earning a degree",6,NA,NA,NA,NA,NA,NA,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Python,C;C++;Dart;HTML/CSS;JavaScript;Node.js;Python,MongoDB;MySQL,MongoDB;MySQL,Heroku,Heroku,Windows,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,3,NA,"500 to 999 employees","EUR European Euro",NA,NA,C;C++;Python,C++;Python,Elasticsearch,Elasticsearch,NA,NA,Windows,"25-34 years old",Man,"Prefer to self-describe:","White or of European descent",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",14,8,"Developer, back-end","500 to 999 employees","USD	United States dollar",57765,Yearly,Bash/Shell;PowerShell,PHP;Rust,Oracle;PostgreSQL,PostgreSQL;Redis,DigitalOcean,DigitalOcean,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",57765
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,3,"Other (please specify):;Database administrator;System administrator","100 to 499 employees","USD	United States dollar",40000,Yearly,Java;SQL,C#;C++;Java;SQL,MySQL;Oracle,MySQL;SQLite,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",40000
"Employed full-time","United States of America","Primary/elementary school",6,2,"Developer, full-stack","2 to 9 employees","USD	United States dollar",37440,Yearly,C#;C++;HTML/CSS;JavaScript;TypeScript,C#;C++;HTML/CSS;TypeScript,MySQL;PostgreSQL,MySQL;PostgreSQL,NA,NA,Windows,"Under 18 years old",Man,NA,"White or of European descent",37440
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,9,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics","500 to 999 employees","CAD	Canadian dollar",110000,Yearly,C#;JavaScript;Python;TypeScript,C#;JavaScript;Python;TypeScript,MongoDB,MongoDB,NA,NA,Windows,"25-34 years old",Man,"Prefer to self-describe:;Queer","White or of European descent",83194
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",37,31,"Other (please specify):","10,000 or more employees","USD	United States dollar",NA,NA,Perl,Perl;Python,NA,NA,NA,NA,Linux-based,"45-54 years old",Man,NA,NA,NA
"Employed full-time","South Korea","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",4,4,"Developer, desktop or enterprise applications","1,000 to 4,999 employees","KRW	South Korean won",NA,Monthly,Java;JavaScript,Python,MySQL,Elasticsearch;PostgreSQL;Redis,"Google Cloud Platform",AWS,MacOS,"35-44 years old",Man,"Straight / Heterosexual","East Asian",NA
"Not employed, but looking for work",Greece,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,NA,Student,NA,NA,NA,NA,Bash/Shell;HTML/CSS;Java;Scala;SQL,Bash/Shell;HTML/CSS;Java;Scala;SQL,MySQL,NA,Heroku,AWS,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time",China,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",2,NA,NA,NA,NA,NA,NA,C;Java;JavaScript;Matlab;PHP;Python;Scala;SQL,Bash/Shell;Go;Java;JavaScript;Matlab;PHP;Python;Scala;SQL,"Microsoft SQL Server;MySQL",MongoDB;MySQL;Oracle;Redis,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","East Asian",NA
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,8,"Developer, full-stack;DevOps specialist","1,000 to 4,999 employees","USD	United States dollar",430000,Yearly,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;SQL,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,AWS;DigitalOcean,AWS;DigitalOcean,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",430000
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,NA,NA,NA,NA,NA,Bash/Shell;Java;JavaScript;Python,Bash/Shell;Java;Kotlin;Python,MariaDB;PostgreSQL;SQLite,Cassandra;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,"DigitalOcean;Google Cloud Platform","AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Prefer not to say",NA
"Independent contractor, freelancer, or self-employed",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,1,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, game or graphics;Developer, embedded applications or devices;Designer","Just me - I am a freelancer, sole proprietor, etc.","INR	Indian rupee",70000,Monthly,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,DigitalOcean;Heroku,DigitalOcean,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Middle Eastern",11724
"Student, full-time",Nepal,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;JavaScript;Python,HTML/CSS;Java;JavaScript;Node.js;Python,"Microsoft SQL Server;MySQL",MySQL,NA,NA,Windows,"18-24 years old",Woman,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Switzerland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,13,"Developer, desktop or enterprise applications;Developer, full-stack;DevOps specialist;Product manager","2 to 9 employees","CHF	Swiss franc",110000,Yearly,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,"Microsoft SQL Server;PostgreSQL","Microsoft SQL Server","Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual;Bisexual","White or of European descent",111814
"Student, full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Python,C++;Python,Elasticsearch;MariaDB;PostgreSQL;Redis,Elasticsearch;MariaDB;PostgreSQL,"Microsoft Azure",NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, part-time",Austria,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,NA,NA,NA,NA,NA,NA,C#;Dart;HTML/CSS;Java;Kotlin;Python,Dart;HTML/CSS;Java;Kotlin;Scala,"Microsoft SQL Server;MongoDB;PostgreSQL",PostgreSQL,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Germany,"Other doctoral degree (Ph.D., Ed.D., etc.)",41,18,"Data scientist or machine learning specialist;Academic researcher","100 to 499 employees","EUR European Euro",NA,Yearly,C#;HTML/CSS;JavaScript;Matlab;Node.js;PowerShell;Python;R;SQL,NA,"Microsoft SQL Server;Oracle",PostgreSQL,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",5,4,"Developer, front-end;Developer, full-stack;Developer, back-end","100 to 499 employees","USD	United States dollar",133000,Yearly,Bash/Shell;JavaScript;Ruby,JavaScript;Python;Ruby,PostgreSQL;Redis,PostgreSQL;Redis,AWS,AWS;DigitalOcean,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",133000
NA,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;JavaScript;Node.js;Python,C++;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,MongoDB;SQLite,MongoDB,Heroku,"Google Cloud Platform;Heroku",Windows,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent;I don't know;Multiracial;Hispanic or Latino/a/x",NA
"Employed full-time",Germany,"Some college/university study without earning a degree",23,13,"Developer, full-stack;System administrator","10,000 or more employees","EUR European Euro",64000,Yearly,C#;HTML/CSS;JavaScript;SQL,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Rust;SQL,"Microsoft SQL Server","Microsoft SQL Server",NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",69183
"Independent contractor, freelancer, or self-employed",Netherlands,"Some college/university study without earning a degree",33,15,"Developer, back-end;DevOps specialist","Just me - I am a freelancer, sole proprietor, etc.","EUR European Euro",19100,Monthly,Bash/Shell;Go;SQL,Go;SQL,DynamoDB;PostgreSQL,PostgreSQL,"Google Cloud Platform","Google Cloud Platform",Linux-based,"35-44 years old",Man,NA,"White or of European descent",247764
"Employed full-time",Norway,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,6,"Engineer, data;Developer, back-end","1,000 to 4,999 employees","NOK	Norwegian krone",600000,Yearly,Bash/Shell;Java;Python;Rust;SQL,Bash/Shell;Java;Python;Rust;SQL,Elasticsearch,Elasticsearch,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",64737
"Employed full-time",Italy,"Associate degree (A.A., A.S., etc.)",13,8,"Developer, mobile","20 to 99 employees","EUR European Euro",44000,Yearly,Groovy;Java;Kotlin;Swift,Groovy;Kotlin;Swift,Firebase;SQLite,Firebase;SQLite,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",47563
"Employed full-time",Netherlands,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,12,"Other (please specify):;Developer, back-end;Engineering manager","10,000 or more employees","EUR European Euro",110000,Yearly,Java,Kotlin,"Cassandra;DynamoDB;Firebase;Microsoft SQL Server;PostgreSQL;Redis",NA,"AWS;Microsoft Azure",NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x;Black or of African descent",118908
"Employed full-time",Italy,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,5,NA,"500 to 999 employees","EUR European Euro",NA,Monthly,C++;Clojure;Java;JavaScript;Node.js;Perl;Scala;SQL;Swift;TypeScript,Go;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","Or, in your own words:",NA
"Employed part-time",Egypt,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,NA,"Developer, front-end;Developer, full-stack;Developer, back-end;Student",NA,NA,NA,NA,PHP,Go;Node.js,MariaDB;MongoDB;MySQL;SQLite,MariaDB;MongoDB;MySQL;Redis;SQLite,DigitalOcean;Heroku,DigitalOcean;Heroku,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Middle Eastern",NA
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,6,"Developer, front-end","1,000 to 4,999 employees","EUR European Euro",64000,Yearly,HTML/CSS;JavaScript;Node.js;TypeScript,HTML/CSS;JavaScript,PostgreSQL,NA,"AWS;Google Cloud Platform;Microsoft Azure",NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",69183
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,7,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Developer, embedded applications or devices;Data or business analyst;Designer;Engineer, site reliability","5,000 to 9,999 employees","INR	Indian rupee",NA,Monthly,Bash/Shell;C;C++;Java;Node.js;PowerShell;Python;R;SQL,Crystal;Kotlin,Couchbase;Elasticsearch;Firebase;MongoDB;MySQL;Oracle;PostgreSQL,NA,"Google Cloud Platform",NA,Windows,"18-24 years old",Man,NA,NA,NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,8,"Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;DevOps specialist;System administrator","10 to 19 employees","INR	Indian rupee",2100000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Julia;Node.js;Python;SQL;TypeScript,"DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis",DynamoDB;PostgreSQL;Redis,AWS,"AWS;Microsoft Azure",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","South Asian",29320
"Employed full-time",Canada,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Developer, QA or test","10,000 or more employees","CAD	Canadian dollar",NA,Yearly,Dart;Java;Python,Dart;Java;Python,"IBM DB2;Microsoft SQL Server;SQLite","IBM DB2;Microsoft SQL Server;SQLite",NA,NA,MacOS,"35-44 years old",NA,NA,"South Asian",NA
"I prefer not to say",Indonesia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,NA,NA,NA,NA,NA,NA,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,C;C++,"Microsoft SQL Server",NA,NA,NA,Windows,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say",NA
"Employed full-time",Hungary,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,8,"Engineer, data;Data scientist or machine learning specialist","20 to 99 employees","HUF	Hungarian forint",NA,NA,Bash/Shell;Python;SQL,Bash/Shell;Python;Scala;SQL,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Ukraine,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,5,"Other (please specify):;Developer, back-end;Educator","100 to 499 employees","UAH	Ukrainian hryvnia",NA,NA,Bash/Shell;Node.js;PHP;SQL;TypeScript,Bash/Shell;Go;Node.js;PHP;SQL,MySQL;PostgreSQL;Redis,PostgreSQL;Redis,"DigitalOcean;Google Cloud Platform","DigitalOcean;Google Cloud Platform",MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Austria,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",22,8,"Developer, back-end;Developer, embedded applications or devices","1,000 to 4,999 employees","EUR European Euro",65000,Yearly,Bash/Shell;C;C++;Matlab;Python;VBA,Bash/Shell;C;C++;Go;Python,MariaDB;MySQL;Oracle;SQLite,MariaDB;MySQL;Oracle;SQLite,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",70264
"Employed full-time",Ukraine,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",1,"Less than 1 year","Developer, front-end","20 to 99 employees","UAH	Ukrainian hryvnia",8200,Monthly,HTML/CSS;JavaScript,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,NA,NA,NA,NA,MacOS,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",4008
"Employed full-time",Portugal,"Some college/university study without earning a degree",15,12,"Developer, front-end","100 to 499 employees","EUR European Euro",NA,NA,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript,MySQL,MySQL,"Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,5,"Other (please specify):","20 to 99 employees","USD	United States dollar",150000,Yearly,Python;Rust,Python;Rust,MongoDB;PostgreSQL,NA,AWS,AWS,MacOS,"18-24 years old","Prefer not to say","Prefer not to say","Prefer not to say",150000
"Employed full-time",Serbia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",30,21,"Developer, mobile;Developer, full-stack;Developer, back-end;Developer, game or graphics;Data or business analyst;System administrator","100 to 499 employees","EUR European Euro",4000,Monthly,C#;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript,C#;Dart;JavaScript;Kotlin;Node.js;Python;Ruby;Swift;TypeScript,Cassandra;DynamoDB;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;DynamoDB;Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,AWS;DigitalOcean;Heroku,DigitalOcean,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",51888
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",22,7,"Developer, front-end;Developer, full-stack;Developer, back-end;Educator","500 to 999 employees","EUR European Euro",60000,Yearly,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL,MongoDB;PostgreSQL,"Google Cloud Platform;Microsoft Azure",Heroku,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",64859
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",30,17,"Developer, mobile;Developer, full-stack","20 to 99 employees","EUR European Euro",55000,Yearly,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL,Dart;JavaScript;Kotlin;Node.js,MongoDB;PostgreSQL,MongoDB;PostgreSQL,"Google Cloud Platform","Google Cloud Platform",MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",59454
"Employed full-time","Russian Federation","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,7,"Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees","RUB	Russian ruble",NA,NA,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,MongoDB;MySQL;Redis;SQLite,Firebase;MongoDB;MySQL;PostgreSQL;Redis,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed","United States of America","Some college/university study without earning a degree",20,17,"Developer, front-end;Developer, back-end;Database administrator;System administrator","20 to 99 employees","USD	United States dollar",1575,Weekly,JavaScript;PHP;SQL,JavaScript;PHP;SQL,MySQL,MySQL,NA,NA,MacOS,"35-44 years old",Woman,"Straight / Heterosexual","White or of European descent",78750
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,5,"Engineer, data;Data scientist or machine learning specialist;Developer, back-end;System administrator","10,000 or more employees","EUR European Euro",34000,Yearly,Bash/Shell;Java;Python;Scala;SQL,Bash/Shell;Go;Java;Rust;Scala;SQL,MariaDB;MySQL;Oracle;PostgreSQL,MariaDB;MySQL;Oracle;PostgreSQL,NA,NA,Linux-based,"25-34 years old",Man,Bisexual,"White or of European descent",36753
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,"Less than 1 year","Data scientist or machine learning specialist","5,000 to 9,999 employees","INR	Indian rupee",500000,Yearly,HTML/CSS;JavaScript;Python,Python;SQL,NA,NA,AWS,AWS,Windows,"18-24 years old",Man,"Straight / Heterosexual",NA,6981
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,19,"DevOps specialist;Engineer, site reliability","1,000 to 4,999 employees","USD	United States dollar",125000,Yearly,Bash/Shell;JavaScript;Node.js;Ruby;TypeScript,NA,Couchbase;DynamoDB;Elasticsearch;MongoDB,NA,AWS,NA,MacOS,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",125000
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",17,10,"Developer, mobile","10 to 19 employees","GBP	Pound sterling",49400,Yearly,Bash/Shell;Kotlin;Python;Rust,Bash/Shell;Kotlin;Rust,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,Bisexual,"White or of European descent",63854
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, front-end;Developer, full-stack;Developer, back-end","10 to 19 employees","USD	United States dollar",90200,NA,C#;HTML/CSS;JavaScript;SQL,C#;C++;Haskell;HTML/CSS;JavaScript;Python;Ruby;SQL,"Microsoft SQL Server","Microsoft SQL Server","Microsoft Azure","AWS;Google Cloud Platform;Microsoft Azure",Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"I prefer not to say",Egypt,"Primary/elementary school",4,4,NA,"I donâ€™t know","EGP	Egyptian pound",NA,Weekly,C#;HTML/CSS;Python;VBA,HTML/CSS;Python;SQL,"Microsoft SQL Server",MariaDB;SQLite,NA,NA,Linux-based,"Under 18 years old",Man,"Prefer not to say","Middle Eastern",NA
